,Unnamed: 0,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,CEC Plant ID,Energy_Source,Lng,Lat,TAC_AREA_ID,DESCRIPTION,COMMENTS,EFF_START_DT,EFF_END_DT,EFF_START_DT_GMT,EFF_END_DT_GMT
1482,1482,AS_NP26,GEN,TEMBLR_7_WELLPT,TEMBLOR_1_N004,34794_TEMBLOR _115_GUWP,22M7_DB114,2022-07-28T00:00:00,4869,G0644,NG,-119.66168243,35.3545441410001,TAC_NORTH,TAC_NORTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
1483,1483,AS_SP15,GEN,TEMBLR_7_WELLPT,TEMBLOR_1_N004,34794_TEMBLOR _115_GUWP,22M7_DB114,2022-07-28T00:00:00,4869,G0644,NG,-119.66168243,35.3545441410001,TAC_NORTH,TAC_NORTH,,2017-11-01T00:00:00,2030-12-31T23:59:59,2017-11-01T07:00:00-00:00,2031-01-01T07:59:59-00:00
1484,1484,AS_SP15,GEN,TENGEN_2_PL1X2,TENGEN_2_PL1X2-APND,,22M7_DB114,2022-07-28T00:00:00,4870,G0032,NG,-118.494873005,34.3840841570001,TAC_ECNTR,TAC_ECNTR,,2010-02-25T00:00:00,2030-12-31T23:59:59,2010-02-25T08:00:00-00:00,2031-01-01T07:59:59-00:00
1485,1485,AS_SP26,GEN,TENGEN_2_PL1X2,TENGEN_2_PL1X2-APND,,22M7_DB114,2022-07-28T00:00:00,4870,G0032,NG,-118.494873005,34.3840841570001,TAC_ECNTR,TAC_ECNTR,,2010-02-25T00:00:00,2030-12-31T23:59:59,2010-02-25T08:00:00-00:00,2031-01-01T07:59:59-00:00
1486,1486,AS_SP15,GEN,TERMEX_2_PL1X3,TERMEX_2_PL1X3-APND,,22M7_DB114,2022-07-28T00:00:00,4877,G9786,NG,-115.62775323,32.601036525,TAC_SOUTH,TAC_SOUTH,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00
1487,1487,AS_SP26,GEN,TERMEX_2_PL1X3,TERMEX_2_PL1X3-APND,,22M7_DB114,2022-07-28T00:00:00,4877,G9786,NG,-115.62775323,32.601036525,TAC_SOUTH,TAC_SOUTH,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00
1488,1488,AS_NP26,GEN,TIDWTR_2_UNITS,FOSTERW_7_N004,33151_FOSTER W_12.5_GUEQ,22M7_DB114,2022-07-28T00:00:00,4902,G0613,NG,-122.062162242,38.0240363,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1489,1489,AS_NP15,GEN,TIDWTR_2_UNITS,FOSTERW_7_N004,33151_FOSTER W_12.5_GUEQ,22M7_DB114,2022-07-28T00:00:00,4902,G0613,NG,-122.062162242,38.0240363,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1490,1490,AS_SP26,GEN,TIFFNY_1_DILLON,WINTEC6_7_N001,28011_WINTEC6 _34.5_GU1,22M7_DB114,2022-07-28T00:00:00,4904,W0364,WND,-116.587362183,33.9385452240001,TAC_ECNTR,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1491,1491,AS_SP15,GEN,TIFFNY_1_DILLON,WINTEC6_7_N001,28011_WINTEC6 _34.5_GU1,22M7_DB114,2022-07-28T00:00:00,4904,W0364,WND,-116.587362183,33.9385452240001,TAC_ECNTR,TAC_ECNTR,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1492,1492,AS_NP15,GEN,TIGRCK_7_UNITS,TIGRCK_7_UNITS-APND,,22M7_DB114,2022-07-28T00:00:00,4907,H0516,WAT,-120.492635144,38.449091276,TAC_NORTH,TAC_NORTH,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00
1493,1493,AS_NP26,GEN,TIGRCK_7_UNITS,TIGRCK_7_UNITS-APND,,22M7_DB114,2022-07-28T00:00:00,4907,H0516,WAT,-120.492635144,38.449091276,TAC_NORTH,TAC_NORTH,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00
1494,1494,AS_NP15,GEN,TKOPWR_6_HYDRO,BEARCRK_6_N010,31589_BEAR CRK_60.0_GUh1,22M7_DB114,2022-07-28T00:00:00,4910,H0507,WAT,-121.959158064,40.534427667,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1495,1495,AS_NP26,GEN,TKOPWR_6_HYDRO,BEARCRK_6_N010,31589_BEAR CRK_60.0_GUh1,22M7_DB114,2022-07-28T00:00:00,4910,H0507,WAT,-121.959158064,40.534427667,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
1496,1496,AS_NP26,GEN,TMPLTN_2_SOLAR,TEMPLE21_7_N002,30907_TEMPLE21_21.0_GU2,22M7_DB114,2022-07-28T00:00:00,4916,S9292,SUN,-120.681375155,35.55777117,TAC_NORTH,TAC_NORTH,,2022-01-01T00:00:00,2030-12-31T23:59:59,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00
