,AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,CEC Plant ID,Lng,Lat
1577,AS_SP26,GEN,VENWD_1_WIND3,VENWIND_1_N104,25645_VENWIND _115_GUPH,22M7_DB114,2022-07-28T00:00:00,5084,W0478,-116.543666116,33.907882065
1578,AS_SP15,GEN,VERNON_6_MALBRG,VERNON_6_MALBRG-APND,,22M7_DB114,2022-07-28T00:00:00,5088,G0894,-118.220446359,33.9988742620001
1579,AS_SP26,GEN,VERNON_6_MALBRG,VERNON_6_MALBRG-APND,,22M7_DB114,2022-07-28T00:00:00,5088,G0894,-118.220446359,33.9988742620001
1580,AS_SP26,GEN,VESTAL_2_KERN,VESTAL_2_KERN-APND,,22M7_DB114,2022-07-28T00:00:00,5093,H0269,-118.436203224,35.776134638
1581,AS_SP15,GEN,VESTAL_2_KERN,VESTAL_2_KERN-APND,,22M7_DB114,2022-07-28T00:00:00,5093,H0269,-118.436203224,35.776134638
1582,AS_SP15,GEN,VESTAL_2_RTS042,VESTAL_6_GN010,24152_VESTAL  _66.0_GU42,22M7_DB114,2022-07-28T00:00:00,5094,S0201,-119.073898765,36.0285849260001
1583,AS_SP26,GEN,VESTAL_2_RTS042,VESTAL_6_GN010,24152_VESTAL  _66.0_GU42,22M7_DB114,2022-07-28T00:00:00,5094,S0201,-119.073898765,36.0285849260001
1584,AS_SP26,GEN,VESTAL_2_SOLAR1,VESTAL_6_N025,24152_VESTAL  _66.0_GUNI,22M7_DB114,2022-07-28T00:00:00,5095,S0538,-119.043207138,35.831086929
1585,AS_SP15,GEN,VESTAL_2_SOLAR1,VESTAL_6_N025,24152_VESTAL  _66.0_GUNI,22M7_DB114,2022-07-28T00:00:00,5095,S0538,-119.043207138,35.831086929
1586,AS_SP15,GEN,VESTAL_2_SOLAR2,VESTAL_6_N026,24152_VESTAL  _66.0_GUTO,22M7_DB114,2022-07-28T00:00:00,5096,S0539,-119.028614491,35.824623913
1587,AS_SP26,GEN,VESTAL_2_SOLAR2,VESTAL_6_N026,24152_VESTAL  _66.0_GUTO,22M7_DB114,2022-07-28T00:00:00,5096,S0539,-119.028614491,35.824623913
