AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP
AS_NP15,GEN,PGP2_2_PDRP60,PGP2_2_PDRP60-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3315
AS_NP26,GEN,PGP2_2_PDRP60,PGP2_2_PDRP60-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3315
AS_NP15,GEN,PGP2_2_PDRP61,PGP2_2_PDRP61-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3316
AS_NP26,GEN,PGP2_2_PDRP61,PGP2_2_PDRP61-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3316
AS_NP26,GEN,PGP2_2_PDRP62,PGP2_2_PDRP62-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3317
AS_NP15,GEN,PGP2_2_PDRP62,PGP2_2_PDRP62-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3317
AS_NP26,GEN,PGP2_2_PDRP64,PGP2_2_PDRP64-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3318
AS_NP15,GEN,PGP2_2_PDRP64,PGP2_2_PDRP64-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3318
AS_NP26,GEN,PGP2_2_PDRP65,PGP2_2_PDRP65-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3319
AS_NP15,GEN,PGP2_2_PDRP65,PGP2_2_PDRP65-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3319
AS_NP26,GEN,PGP2_2_PDRP66,PGP2_2_PDRP66-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3320
AS_NP15,GEN,PGP2_2_PDRP66,PGP2_2_PDRP66-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3320
AS_NP26,GEN,PGP2_2_PDRP67,PGP2_2_PDRP67-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3321
AS_NP15,GEN,PGP2_2_PDRP67,PGP2_2_PDRP67-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3321
AS_NP26,GEN,PGP2_2_PDRP68,PGP2_2_PDRP68-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3322
AS_NP15,GEN,PGP2_2_PDRP68,PGP2_2_PDRP68-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3322
AS_NP26,GEN,PGP2_2_PDRP69,PGP2_2_PDRP69-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3323
AS_NP15,GEN,PGP2_2_PDRP69,PGP2_2_PDRP69-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3323
AS_NP15,GEN,PGP2_2_PDRP72,PGP2_2_PDRP72-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3324
AS_NP26,GEN,PGP2_2_PDRP72,PGP2_2_PDRP72-APND,N/A,22M7_DB114,2022-07-28T00:00:00,3324
