PNODE_ID,AS_ID,RES_TYPE,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Long,Unnamed: 10,LINK
CORONA_1_N001,AS_NP26,LOAD,CORONA_1_LD1,31254_CORONA _115_LD1,22M7_DB114,2022-07-28 0:00:00,799,32.69877,-117.173458,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=CORONA_1_N001
CORONADO_6_N001,AS_SP15,LOAD,CRNRDO_6_LD31,22144_CORONADO_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,855,32.698934,-117.173276,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=CORONADO_6_N001
CORONADO_6_N002,AS_SP26,LOAD,CRNRDO_6_LD32,22144_CORONADO_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,856,32.698682,-117.17337,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=CORONADO_6_N002
NOISLMTR_6_N004,AS_SP15,LOAD,NIMTG_6_LD-N,22576_NOISLMTR_69.0_LDN,22M7_DB114,2022-07-28 0:00:00,2618,32.7025,-117.182161,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=NOISLMTR_6_N004
NOISLMTR_6_N009,AS_SP15,LOAD,NIMTG_6_LD-S,22576_NOISLMTR_69.0_LDS,22M7_DB114,2022-07-28 0:00:00,2619,32.702364,-117.182081,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=NOISLMTR_6_N009
NOISLMTR_6_N015,AS_SP15,GEN,NIMTG_6_NICOGN,22576_NOISLMTR_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,2620,32.702352,-117.182378,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=NOISLMTR_6_N015
NOISLMTR_6_N101,AS_SP15,GEN,NIMTG_6_NIQF,22576_NOISLMTR_69.0_GUQF,22M7_DB114,2022-07-28 0:00:00,2621,32.702489,-117.182422,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=NOISLMTR_6_N101
B_6_N005,AS_SP15,LOAD,STA B_6_LD30,22024_B  _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4719,32.714371,-117.169423,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=B_6_N005
B_6_N003,AS_SP26,LOAD,STA B_6_LD31,22024_B  _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4720,32.714128,-117.169389,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=B_6_N003
B_6_N007,AS_SP15,LOAD,STA B_6_LD32,22024_B  _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4721,32.714373,-117.169644,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=B_6_N007
B_6_N001,AS_SP15,LOAD,STA B_6_LD33,22024_B  _69.0_LD33,22M7_DB114,2022-07-28 0:00:00,4722,32.714371,-117.169423,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=B_6_N001
URBAN_6_N005,AS_SP26,LOAD,URBAN_6_LD31,22868_URBAN  _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,5012,32.713308,-117.151611,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=URBAN_6_N005
URBAN_6_N001,AS_SP15,LOAD,URBAN_6_LD33,22868_URBAN  _69.0_LD33,22M7_DB114,2022-07-28 0:00:00,5014,32.713308,-117.151331,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=URBAN_6_N001
KETTNER_6_N001,AS_SP26,LOAD,KETTNR_6_LD31,22380_KETTNER _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,1934,32.733236,-117.173864,,http://oasis.caiso.com/oasisapi/SingleZip?resultformat=6&queryname=PRC_RTPD_LMP&version=3&startdatetime=20220901T07:00-0000&enddatetime=20220905T07:00-0000&market_run_id=RTPD&node=KETTNER_6_N001
